comparison,operation,round,kat_count,order,a_label,a_elapsed_ns,b_label,b_elapsed_ns
mini-tracking-vs-secure-pool,keygen,28,13,a-then-b,mini-tracking,50908000,mini-secure-pool,279056000
mini-tracking-vs-secure-pool,keygen,29,14,b-then-a,mini-tracking,67183000,mini-secure-pool,304248000
mini-tracking-vs-secure-pool,sign,0,0,a-then-b,mini-tracking,177920000,mini-secure-pool,692801000
mini-tracking-vs-secure-pool,sign,1,1,b-then-a,mini-tracking,133338000,mini-secure-pool,667090000
mini-tracking-vs-secure-pool,sign,2,2,a-then-b,mini-tracking,153779000,mini-secure-pool,661769000
mini-tracking-vs-secure-pool,sign,3,3,b-then-a,mini-tracking,147293000,mini-secure-pool,652718000
mini-tracking-vs-secure-pool,sign,4,4,a-then-b,mini-tracking,179843000,mini-secure-pool,706150000
mini-tracking-vs-secure-pool,sign,5,5,b-then-a,mini-tracking,161798000,mini-secure-pool,677242000
mini-tracking-vs-secure-pool,sign,6,6,a-then-b,mini-tracking,187236000,mini-secure-pool,721268000
mini-tracking-vs-secure-pool,sign,7,7,b-then-a,mini-tracking,130972000,mini-secure-pool,632556000
mini-tracking-vs-secure-pool,sign,8,8,a-then-b,mini-tracking,138043000,mini-secure-pool,663279000
mini-tracking-vs-secure-pool,sign,9,9,b-then-a,mini-tracking,222506000,mini-secure-pool,876245000
mini-tracking-vs-secure-pool,sign,10,10,a-then-b,mini-tracking,189056000,mini-secure-pool,747324000
mini-tracking-vs-secure-pool,sign,11,11,b-then-a,mini-tracking,166432000,mini-secure-pool,664468000
mini-tracking-vs-secure-pool,sign,12,12,a-then-b,mini-tracking,159629000,mini-secure-pool,692210000
mini-tracking-vs-secure-pool,sign,13,13,b-then-a,mini-tracking,124040000,mini-secure-pool,653515000
mini-tracking-vs-secure-pool,sign,14,14,a-then-b,mini-tracking,114159000,mini-secure-pool,619408000
mini-tracking-vs-secure-pool,sign,15,0,b-then-a,mini-tracking,177572000,mini-secure-pool,690411000
mini-tracking-vs-secure-pool,sign,16,1,a-then-b,mini-tracking,133442000,mini-secure-pool,706979000
mini-tracking-vs-secure-pool,sign,17,2,b-then-a,mini-tracking,154031000,mini-secure-pool,660488000
mini-tracking-vs-secure-pool,sign,18,3,a-then-b,mini-tracking,147199000,mini-secure-pool,656477000
mini-tracking-vs-secure-pool,sign,19,4,b-then-a,mini-tracking,179686000,mini-secure-pool,708315000
mini-tracking-vs-secure-pool,sign,20,5,a-then-b,mini-tracking,162131000,mini-secure-pool,677036000
mini-tracking-vs-secure-pool,sign,21,6,b-then-a,mini-tracking,187051000,mini-secure-pool,717688000
mini-tracking-vs-secure-pool,sign,22,7,a-then-b,mini-tracking,131112000,mini-secure-pool,630908000
mini-tracking-vs-secure-pool,sign,23,8,b-then-a,mini-tracking,138531000,mini-secure-pool,769326000
mini-tracking-vs-secure-pool,sign,24,9,a-then-b,mini-tracking,223081000,mini-secure-pool,880019000
mini-tracking-vs-secure-pool,sign,25,10,b-then-a,mini-tracking,189659000,mini-secure-pool,745912000
mini-tracking-vs-secure-pool,sign,26,11,a-then-b,mini-tracking,166465000,mini-secure-pool,664500000
mini-tracking-vs-secure-pool,sign,27,12,b-then-a,mini-tracking,160408000,mini-secure-pool,689605000
mini-tracking-vs-secure-pool,sign,28,13,a-then-b,mini-tracking,124642000,mini-secure-pool,651707000
mini-tracking-vs-secure-pool,sign,29,14,b-then-a,mini-tracking,114057000,mini-secure-pool,617710000
mini-tracking-vs-secure-pool,verify,0,0,a-then-b,mini-tracking,5559000,mini-secure-pool,5562000
mini-tracking-vs-secure-pool,verify,1,1,b-then-a,mini-tracking,5497000,mini-secure-pool,5533000
mini-tracking-vs-secure-pool,verify,2,2,a-then-b,mini-tracking,5451000,mini-secure-pool,5458000
mini-tracking-vs-secure-pool,verify,3,3,b-then-a,mini-tracking,5582000,mini-secure-pool,5590000
mini-tracking-vs-secure-pool,verify,4,4,a-then-b,mini-tracking,5542000,mini-secure-pool,5516000
mini-tracking-vs-secure-pool,verify,5,5,b-then-a,mini-tracking,5539000,mini-secure-pool,5542000
mini-tracking-vs-secure-pool,verify,6,6,a-then-b,mini-tracking,5571000,mini-secure-pool,5547000
mini-tracking-vs-secure-pool,verify,7,7,b-then-a,mini-tracking,5546000,mini-secure-pool,5533000
mini-tracking-vs-secure-pool,verify,8,8,a-then-b,mini-tracking,5472000,mini-secure-pool,5483000
mini-tracking-vs-secure-pool,verify,9,9,b-then-a,mini-tracking,5517000,mini-secure-pool,5510000
mini-tracking-vs-secure-pool,verify,10,10,a-then-b,mini-tracking,5548000,mini-secure-pool,5533000
mini-tracking-vs-secure-pool,verify,11,11,b-then-a,mini-tracking,5499000,mini-secure-pool,5515000
mini-tracking-vs-secure-pool,verify,12,12,a-then-b,mini-tracking,5565000,mini-secure-pool,5557000
mini-tracking-vs-secure-pool,verify,13,13,b-then-a,mini-tracking,5514000,mini-secure-pool,5505000
mini-tracking-vs-secure-pool,verify,14,14,a-then-b,mini-tracking,5491000,mini-secure-pool,5552000
mini-tracking-vs-secure-pool,verify,15,0,b-then-a,mini-tracking,5556000,mini-secure-pool,5573000
mini-tracking-vs-secure-pool,verify,16,1,a-then-b,mini-tracking,5488000,mini-secure-pool,5498000
mini-tracking-vs-secure-pool,verify,17,2,b-then-a,mini-tracking,5444000,mini-secure-pool,5436000
mini-tracking-vs-secure-pool,verify,18,3,a-then-b,mini-tracking,5589000,mini-secure-pool,5567000
mini-tracking-vs-secure-pool,verify,19,4,b-then-a,mini-tracking,5518000,mini-secure-pool,5537000
mini-tracking-vs-secure-pool,verify,20,5,a-then-b,mini-tracking,5518000,mini-secure-pool,5520000
mini-tracking-vs-secure-pool,verify,21,6,b-then-a,mini-tracking,5559000,mini-secure-pool,5556000
mini-tracking-vs-secure-pool,verify,22,7,a-then-b,mini-tracking,5515000,mini-secure-pool,5497000
mini-tracking-vs-secure-pool,verify,23,8,b-then-a,mini-tracking,5496000,mini-secure-pool,5502000
mini-tracking-vs-secure-pool,verify,24,9,a-then-b,mini-tracking,5492000,mini-secure-pool,5498000
mini-tracking-vs-secure-pool,verify,25,10,b-then-a,mini-tracking,5520000,mini-secure-pool,5590000
mini-tracking-vs-secure-pool,verify,26,11,a-then-b,mini-tracking,5525000,mini-secure-pool,5504000
mini-tracking-vs-secure-pool,verify,27,12,b-then-a,mini-tracking,5577000,mini-secure-pool,5547000
mini-tracking-vs-secure-pool,verify,28,13,a-then-b,mini-tracking,5531000,mini-secure-pool,5542000
mini-tracking-vs-secure-pool,verify,29,14,b-then-a,mini-tracking,5525000,mini-secure-pool,5513000
