sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
106,53,B,B-first,5999710954555133489,809691000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
107,53,A,B-first,5999710954555133489,808988000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
108,54,A,A-first,5999710954555133489,810004000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
109,54,B,A-first,5999710954555133489,812340000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
110,55,B,B-first,5999710954555133489,811307000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
111,55,A,B-first,5999710954555133489,807841000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
112,56,A,A-first,5999710954555133489,811697000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
113,56,B,A-first,5999710954555133489,809309000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
114,57,B,B-first,5999710954555133489,810459000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
115,57,A,B-first,5999710954555133489,813316000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
116,58,A,A-first,5999710954555133489,810845000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
117,58,B,A-first,5999710954555133489,808673000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
118,59,B,B-first,5999710954555133489,810944000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
119,59,A,B-first,5999710954555133489,811756000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
120,60,A,A-first,5999710954555133489,809800000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
121,60,B,A-first,5999710954555133489,812654000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
122,61,B,B-first,5999710954555133489,809302000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
123,61,A,B-first,5999710954555133489,811657000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
124,62,A,A-first,5999710954555133489,808553000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
125,62,B,A-first,5999710954555133489,813087000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
126,63,B,B-first,5999710954555133489,812315000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
127,63,A,B-first,5999710954555133489,808318000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
