sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
21,10,B,A-first,13546682927695711814,855298000,3,3,0,11,11,0,3,3,0,17,17,0,b4aa898606955b40
22,11,B,B-first,4839782808629744545,1111027000,3,3,0,12,12,0,3,3,0,18,18,0,3740d2ca3e1128be
23,11,A,B-first,5999710954555133489,805720000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
24,12,A,A-first,5999710954555133489,806817000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
25,12,B,A-first,17330038448952222807,1264770000,3,3,0,11,11,0,3,3,0,17,17,0,78003ec92e65520f
26,13,B,B-first,6063221543909367921,455084000,3,3,0,12,12,0,3,3,0,18,18,0,dd3cef3683b01f48
27,13,A,B-first,5999710954555133489,804776000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
28,14,A,A-first,5999710954555133489,804704000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
29,14,B,A-first,1315361123233219194,622144000,3,3,0,12,12,0,3,3,0,18,18,0,59535f7f2b426f4f
30,15,B,B-first,14391278412279324496,1081453000,3,3,0,12,12,0,3,3,0,18,18,0,545cce3f2d26d88c
31,15,A,B-first,5999710954555133489,805985000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
32,16,A,A-first,5999710954555133489,804220000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
33,16,B,A-first,1466504191324546123,648127000,3,3,0,11,11,0,3,3,0,17,17,0,d223f5506ff673f9
34,17,B,B-first,7220676901988789713,477204000,3,3,0,11,11,0,3,3,0,17,17,0,e85f77445ce521a8
35,17,A,B-first,5999710954555133489,804680000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
36,18,A,A-first,5999710954555133489,804823000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
37,18,B,A-first,13174271513393086488,277891000,3,3,0,12,12,0,3,3,0,18,18,0,af5a91b7ba3aef60
38,19,B,B-first,2151400992506566970,828281000,3,3,0,12,12,0,3,3,0,18,18,0,9b582b023f949e84
39,19,A,B-first,5999710954555133489,805212000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
40,20,A,A-first,5999710954555133489,804736000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
41,20,B,A-first,357812285139149957,446873000,3,3,0,12,12,0,3,3,0,18,18,0,2d314b4dcfa8df96
42,21,B,B-first,16883994080231478719,746704000,3,3,0,12,12,0,3,3,0,18,18,0,a639fbf85267c77a
43,21,A,B-first,5999710954555133489,807051000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
44,22,A,A-first,5999710954555133489,806133000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
45,22,B,A-first,17264975761475716686,928585000,3,3,0,12,12,0,3,3,0,18,18,0,fe90837d4ffc9362
46,23,B,B-first,11040593046049842679,838674000,3,3,0,12,12,0,3,3,0,18,18,0,4d20026c7019ceb7
47,23,A,B-first,5999710954555133489,806438000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
48,24,A,A-first,5999710954555133489,803224000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
49,24,B,A-first,11919467507227151275,476749000,3,3,0,11,11,0,3,3,0,17,17,0,1dc84d7190a4797d
50,25,B,B-first,2401573416144821480,933210000,3,3,0,12,12,0,3,3,0,18,18,0,767d8a54571d20a7
51,25,A,B-first,5999710954555133489,800645000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
52,26,A,A-first,5999710954555133489,801195000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
53,26,B,A-first,8365839641255157867,544579000,3,3,0,11,11,0,3,3,0,17,17,0,e0ce8de84f6ff265
54,27,B,B-first,12391661300978548234,662375000,3,3,0,11,11,0,3,3,0,17,17,0,3c66caf88ba322e2
55,27,A,B-first,5999710954555133489,802230000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
56,28,A,A-first,5999710954555133489,802928000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
57,28,B,A-first,13076714478352092086,890793000,3,3,0,11,11,0,3,3,0,17,17,0,0e41b1eaea2584a4
58,29,B,B-first,13427402966873120026,514978000,3,3,0,12,12,0,3,3,0,18,18,0,60420dd692289d40
59,29,A,B-first,5999710954555133489,803409000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
60,30,A,A-first,5999710954555133489,803226000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
61,30,B,A-first,13287728832922998108,295961000,3,3,0,11,11,0,3,3,0,17,17,0,7e79523d687c3da8
62,31,B,B-first,13606743526313246680,742739000,3,3,0,12,12,0,3,3,0,18,18,0,160918d62e5a9a53
63,31,A,B-first,5999710954555133489,801554000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
64,32,A,A-first,5999710954555133489,801440000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
65,32,B,A-first,10957987238844971492,491435000,3,3,0,11,11,0,3,3,0,17,17,0,48749d6b81d1bbad
66,33,B,B-first,1387786489429541378,702146000,3,3,0,12,12,0,3,3,0,18,18,0,0c765d3174901d92
67,33,A,B-first,5999710954555133489,802940000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
68,34,A,A-first,5999710954555133489,801483000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
69,34,B,A-first,14865396613124304513,593572000,3,3,0,11,11,0,3,3,0,17,17,0,4e6d91056dd3206a
70,35,B,B-first,11136364323668202034,919857000,3,3,0,11,11,0,3,3,0,17,17,0,b789005690a4e2d8
71,35,A,B-first,5999710954555133489,800724000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
72,36,A,A-first,5999710954555133489,801217000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
73,36,B,A-first,6250372912393906953,466088000,3,3,0,11,11,0,3,3,0,17,17,0,c755c5a2c3a7177a
74,37,B,B-first,13143677462639060362,626813000,3,3,0,11,11,0,3,3,0,17,17,0,112107c8821a01c7
75,37,A,B-first,5999710954555133489,802641000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
76,38,A,A-first,5999710954555133489,800918000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
77,38,B,A-first,134775790262573166,787433000,3,3,0,11,11,0,3,3,0,17,17,0,096ac78dd89440ad
78,39,B,B-first,16576546681787968880,606255000,3,3,0,12,12,0,3,3,0,18,18,0,12d2e59eb5c4f5fc
79,39,A,B-first,5999710954555133489,800648000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
80,40,A,A-first,5999710954555133489,801340000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
81,40,B,A-first,17937708578470471451,761664000,3,3,0,11,11,0,3,3,0,17,17,0,cca82cb446cd4172
82,41,B,B-first,11038316942610582860,366454000,3,3,0,11,11,0,3,3,0,17,17,0,bb46edf2e3b09d4e
83,41,A,B-first,5999710954555133489,802236000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
84,42,A,A-first,5999710954555133489,801093000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
85,42,B,A-first,2949826092126892291,658784000,3,3,0,12,12,0,3,3,0,18,18,0,18e86e61d961832a
86,43,B,B-first,11303639812522640203,678853000,3,3,0,12,12,0,3,3,0,18,18,0,8ac30eaf84bbe63c
87,43,A,B-first,5999710954555133489,801996000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
88,44,A,A-first,5999710954555133489,802438000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
89,44,B,A-first,10446164177184317730,639375000,3,3,0,11,11,0,3,3,0,17,17,0,10badc73fcf56d04
90,45,B,B-first,18114124049019561668,486741000,3,3,0,12,12,0,3,3,0,18,18,0,651f0f997b92365c
91,45,A,B-first,5999710954555133489,801417000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
92,46,A,A-first,5999710954555133489,801259000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
93,46,B,A-first,3272027361880317973,631585000,3,3,0,11,11,0,3,3,0,17,17,0,f176a8a7be52f203
94,47,B,B-first,5336698626316487531,512804000,3,3,0,12,12,0,3,3,0,18,18,0,db80522f252bc69f
95,47,A,B-first,5999710954555133489,801732000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
96,48,A,A-first,5999710954555133489,801021000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
97,48,B,A-first,12236848000085267009,549743000,3,3,0,11,11,0,3,3,0,17,17,0,5cc7618969880518
98,49,B,B-first,6487345785947902411,789680000,3,3,0,12,12,0,3,3,0,18,18,0,4aa799f991d3cf4c
99,49,A,B-first,5999710954555133489,801891000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
100,50,A,A-first,5999710954555133489,801377000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
101,50,B,A-first,10658717428816962167,921568000,3,3,0,12,12,0,3,3,0,18,18,0,e3906a3156267795
102,51,B,B-first,5800887585207603241,430807000,3,3,0,11,11,0,3,3,0,17,17,0,42e5adaa88cbd6c3
103,51,A,B-first,5999710954555133489,801489000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
104,52,A,A-first,5999710954555133489,800907000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
105,52,B,A-first,4024040214347306988,501736000,3,3,0,12,12,0,3,3,0,18,18,0,b7a732df29fdff2f
106,53,B,B-first,57561873003207442,462870000,3,3,0,11,11,0,3,3,0,17,17,0,116fc966c916682f
107,53,A,B-first,5999710954555133489,800949000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
108,54,A,A-first,5999710954555133489,801976000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
109,54,B,A-first,5653460934320774846,456722000,3,3,0,12,12,0,3,3,0,18,18,0,ce3a07b5c3361a49
110,55,B,B-first,571288326760087601,620692000,3,3,0,12,12,0,3,3,0,18,18,0,a8e702ef6f3b5357
111,55,A,B-first,5999710954555133489,801315000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
112,56,A,A-first,5999710954555133489,801096000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
113,56,B,A-first,12959236711590959257,820754000,3,3,0,12,12,0,3,3,0,18,18,0,3f7025dd1b041b82
114,57,B,B-first,8128895877503091734,380165000,3,3,0,12,12,0,3,3,0,18,18,0,26afc43c1f082a5f
115,57,A,B-first,5999710954555133489,804235000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
116,58,A,A-first,5999710954555133489,801864000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
117,58,B,A-first,7886205986134419855,482637000,3,3,0,12,12,0,3,3,0,18,18,0,caabaea6a03927ac
118,59,B,B-first,9933338462726141648,1522144000,3,3,0,11,11,0,3,3,0,17,17,0,c338bc25576f4ad5
119,59,A,B-first,5999710954555133489,801046000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
120,60,A,A-first,5999710954555133489,801762000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
121,60,B,A-first,2512335019419641135,871437000,3,3,0,12,12,0,3,3,0,18,18,0,a0f1fc01f63c0800
122,61,B,B-first,790980654680114591,557396000,3,3,0,12,12,0,3,3,0,18,18,0,cc0c124fbef3b94f
123,61,A,B-first,5999710954555133489,801512000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
124,62,A,A-first,5999710954555133489,801691000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
125,62,B,A-first,13599025844114252524,921788000,3,3,0,11,11,0,3,3,0,17,17,0,6c0c50d1fff28f2c
126,63,B,B-first,5510476169869607759,435703000,3,3,0,12,12,0,3,3,0,18,18,0,64894913ecc1bb30
127,63,A,B-first,5999710954555133489,801161000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
