sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
76,38,A,A-first,5999710954555133489,806287000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
77,38,B,A-first,5999710954555133489,806583000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
78,39,B,B-first,5999710954555133489,808382000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
79,39,A,B-first,5999710954555133489,806960000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
80,40,A,A-first,5999710954555133489,805683000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
81,40,B,A-first,5999710954555133489,805963000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
82,41,B,B-first,5999710954555133489,810886000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
83,41,A,B-first,5999710954555133489,819964000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
84,42,A,A-first,5999710954555133489,1384625000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
85,42,B,A-first,5999710954555133489,2179679000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
86,43,B,B-first,5999710954555133489,808188000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
87,43,A,B-first,5999710954555133489,805990000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
88,44,A,A-first,5999710954555133489,803648000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
89,44,B,A-first,5999710954555133489,804736000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
90,45,B,B-first,5999710954555133489,806334000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
91,45,A,B-first,5999710954555133489,807012000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
92,46,A,A-first,5999710954555133489,806938000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
93,46,B,A-first,5999710954555133489,808751000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
94,47,B,B-first,5999710954555133489,806656000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
95,47,A,B-first,5999710954555133489,805396000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
96,48,A,A-first,5999710954555133489,805441000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
